12.156862745098039, 0, 0.0, 72,
0.0, 12.156862745098039, 0, 0.0, 72,
0.0, 12.156862745098039, 0, 0.0, 72,
0.0, 12.156862745098039, 0, 0.0, 72,
0.0, 12.156862745098039, 0, 0.0, 72,
0.0, 12.156862745098039, 0, 0.0, 72,
0.0, 12.156862745098039, 0, 0.0, 72,
0.0, 18.431372549019606, 0, 0.0, 72,
0.0, 18.431372549019606, 0, 0.0, 72,
0.0, 18.431372549019606, 0, 0.0, 72,
0.0, 18.431372549019606, 0, 0.0, 72,
0.0, 18.823529411764707, 0, 75.29411764705883, 72,
1028.5, 13.72549019607843, 0, 23.92156862745098, 72,
818.5, 13.72549019607843, 0, 22.745098039215687, 72,
687.0, 13.333333333333334, 0, 20.392156862745097, 72,
695.5, 12.941176470588236, 0, 19.215686274509803, 72,
684.0, 13.333333333333334, 0, 19.215686274509803, 72,
693.0, 13.333333333333334, 0, 19.607843137254903, 72,
709.5, 13.333333333333334, 0, 19.607843137254903, 72,
682.5, 13.72549019607843, 0, 21.176470588235293, 72,
662.5, 20.784313725490197, 0, 27.84313725490196, 72,
1047.5, 15.294117647058824, 0, 25.49019607843137, 72,
822.0, 15.294117647058824, 0, 27.45098039215686, 
