0, 12.549019607843137, 701.5, 84,
23.529411764705884, 0, 12.549019607843137, 698.0, 84,
23.529411764705884, 0, 12.549019607843137, 698.5, 84,
23.529411764705884, 0, 12.549019607843137, 697.5, 84,
23.92156862745098, 0, 12.549019607843137, 699.0, 84,
23.529411764705884, 0, 12.549019607843137, 697.5, 84,
23.529411764705884, 0, 12.549019607843137, 695.5, 84,
23.92156862745098, 0, 12.549019607843137, 697.5, 84,
23.92156862745098, 0, 12.549019607843137, 699.5, 84,
23.529411764705884, 0, 12.549019607843137, 699.5, 84,
23.529411764705884, 0, 12.549019607843137, 699.0, 84,
23.529411764705884, 0, 12.549019607843137, 698.5, 84,
23.92156862745098, 0, 12.549019607843137, 707.5, 84,
23.529411764705884, 0, 12.549019607843137, 702.0, 84,
23.529411764705884, 0, 12.549019607843137, 697.5, 84,
23.92156862745098, 0, 12.549019607843137, 694.5, 84,
23.92156862745098, 0, 12.549019607843137, 698.0, 84,
23.92156862745098, 0, 12.549019607843137, 698.5, 84,
23.529411764705884, 0, 12.549019607843137, 697.0, 84,
23.529411764705884, 0, 12.549019607843137, 699.0, 84,
23.92156862745098, 0, 12.549019607843137, 697.5, 84,
23.92156862745098, 0, 12.549019607843137, 699.5, 84,
23.92156862745098, 0, 12.549019607843137, 703.0, 84,
23.92156862745098, 0, 12.549019607843137, 705.0, 84,
23.529411764705884, 0, 12.549019607843137, 696.0, 84,
23.92156862745098, 0, 12.549019607843137, 700.0, 84,
23.92156862745098, 0, 12.549019607843137, 697.5, 84,
23.92156862745098, 0, 12.549019607843137, 704.0, 84,
23.529411764705884, 0, 12.941176470588236, 692.0, 84,
23.92156862745098, 0, 12.549019607843137, 699.0, 84,
23.529411764705884, 0, 12.549019607843137, 697.5, 84,
23.92156862745098, 0, 12.549019607843137, 697.0, 84,
23.92156862745098, 0, 12.549019607843137, 698.5, 84,
23.92156862745098, 0, 12.549019607843137, 705.5, 84,
23.92156862745098, 0, 12.549019607843137, 694.0, 84,
23.92156862745098, 0, 12.549019607843137, 694.5, 84,
23.92156862745098, 0, 12.549019607843137, 696.5, 84,
24.705882352941178, 0, 12.549019607843137, 703.5, 84,
23.92156862745098, 0, 12.549019607843137, 693.5, 84,
24.313725490196077, 0, 12.549019607843137, 692.5, 84,
23.92156862745098, 0, 12.549019607843137, 697.5, 84,
24.313725490196077, 0, 12.549019607843137, 693.5, 84,
23.92156862745098, 0, 12.549019607843137, 699.0, 84,
24.313725490196077, 0, 12.549019607843137, 698.0, 84,
24.313725490196077, 0, 12.549019607843137, 701.0, 84,
24.313725490196077, 0, 12.549019607843137, 701.0, 84,
23.92156862745098, 0, 12.549019607843137, 697.0, 84,
24.313725490196077, 0, 12.549019607843137, 690.0, 84,
24.313725490196077, 0, 12.549019607843137, 706.0, 84,
23.92156862745098, 0, 12.549019607843137, 694.5, 84,
24.705882352941178, 0, 12.549019607843137, 703.0, 84,
23.92156862745098, 0, 12.941176470588236, 697.5, 84,
24.313725490196077, 0, 12.549019607843137, 695.0, 84,
24.705882352941178, 0, 12.549019607843137, 706.0, 84,
23.92156862745098, 0, 12.549019607843137, 689.5, 84,
24.705882352941178, 0, 12.549019607843137, 700.5, 84,
24.313725490196077, 0, 12.549019607843137, 695.5, 84,
24.313725490196077, 0, 12.549019607843137, 699.0, 84,
24.313725490196077, 0, 12.549019607843137, 702.0, 84,
24.313725490196077, 0, 12.549019607843137, 699.0, 84,
24.313725490196077, 0, 12.549019607843137, 702.5, 84,
24.313725490196077, 0, 12.549019607843137, 700.0, 84,
24.313725490196077, 0, 12.549019607843137, 701.0, 84,
24.705882352941178, 0, 12.549019607843137, 698.0, 84,
24.705882352941178, 0, 12.549019607843137, 705.5, 84,
24.313725490196077, 0, 12.549019607843137, 702.0, 84,
24.705882352941178, 0, 12.549019607843137, 701.5, 84,
